"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
11379.2,45068.4,16547,8544.96,71915,7787,869.04,25.5,1.41864
16361.6,47597.4,22528,11532.2,70291.8,10752,1237.68,6.75,1.41981
13098.9,69476.2,12356,5473.44,107558,3335,602.64,-3,1.42097
7927.68,34416.3,15096,6175.44,64578.5,6267,450.72,-18.75,1.4233
9169.92,36893.6,16289,5950.08,64294.2,6065,501.12,11.25,1.42446
9217.92,36977.8,16337,7151.76,64337.4,7285,353.52,28.5,1.42446
19299.2,89841.8,14078,15410.2,111237,9079,1377.36,43.5,1.42562
11082.9,61516.7,11807,7912.8,107055,4844,899.28,29.25,1.42679
17893.8,52866.5,22182,12114,72186.1,10998,1522.08,9,1.42679
9887.36,38301.1,16918,7729.2,64330.8,7874,782.64,6.75,1.42795
8029.44,34936.8,15062,6167.52,64712.6,6246,523.44,21,1.42795
9933.44,38495.5,16911,6983.28,64404.2,7106,900.72,6,1.43028
8721.28,39067.5,14630,7224.48,69688.5,6794,1270.8,11.25,1.43144
13635.8,44270.2,20186,9007.92,67521.8,8743,1038.96,15.75,1.43144
15205.8,52840.8,18859,10576.8,74190.4,9343,1434.24,31.5,1.43493
10116.5,39262.9,16886,7707.6,64842.8,7790,917.28,25.5,1.43493
12861.4,43035.2,19586,9462.96,65075,9530,1105.92,39.75,1.43726
7836.16,39510,12998,5351.76,70174.7,4998,962.64,6.75,1.43843
7889.28,35100.6,14730,5249.52,64101.5,5367,674.64,12,1.43843
12280.3,48114,16727,9776.88,71518.9,8959,1096.56,23.25,1.43959
16129.9,50641.5,20874,12826.8,71493.2,11758,1252.8,18.75,1.43959
28154.2,90098,20479,19707.8,85591.3,15090,1938.96,26.25,1.43959
15647.4,54641.9,18767,11098.1,75921.1,9580,761.04,57,1.44075
7687.68,34775,14488,5923.44,64613.6,6008,725.76,-6.75,1.44308
11026.6,40260.6,17949,8205.84,64266,8368,663.84,17.25,1.44541
15826.6,50983.6,20344,11653.9,71950.2,10615,1149.12,30.75,1.44774
21545.6,72118.7,19579,16907,101106,10959,1473.84,26.25,1.44774
7230.08,32590.3,14539,2963.52,63098.5,3078,228.24,0.75,1.45006
19601.9,50369.8,25504,13841.3,73295.3,12376,1228.32,32.25,1.45123
8903.68,37308.9,15640,7082.64,64827.9,7160,456.48,4.5,1.45355
11884.8,41337.6,18842,8789.76,65001.8,8862,461.52,25.5,1.45472
11262.7,41495,17788,8429.76,67249.3,8215,1039.68,18.75,1.45472
8792.32,37088.9,15536,6458.4,64207.8,6592,576.72,12.75,1.45472
18028.8,91998.4,12843,13047.8,119846,7135,1826.64,23.25,1.45588
7535.36,34149.6,14461,3780,63503.2,3901,555.84,-3,1.45705
9138.56,36983.1,16194,6701.76,63893.9,6874,477.36,48,1.45821
17382.4,47790.1,23837,11375.3,65176.6,11438,1761.12,47.25,1.45821
9424,37709.8,16378,6474.96,63724.7,6659,570.24,33,1.45937
8227.2,35235.8,15302,6294.96,64000.4,6446,656.64,10.5,1.46054
8650.88,36551.1,15511,6671.52,66619.7,6563,791.28,28.5,1.46054
10286.7,39029.1,17273,4956.48,64119.2,5066,514.08,18,1.46286
11599.4,41467.1,18332,8825.04,64860.1,8917,894.24,30,1.46403
17183.4,52451.3,21470,13183.9,71465.8,12090,1560.96,23.25,1.46519
9962.24,38765.3,16842,7638.48,63900.4,7834,503.28,-31.5,1.46752
16873.6,66035.4,16746,11163.6,101066,7239,1269.36,14.25,1.46985
14495.4,76758.9,12376,10062.7,104149,6332,872.64,11.25,1.46985
19982.1,63382.5,20661,14467.7,86589.4,10950,1095.12,35.25,1.47101
25601.9,61796.9,27151,15819.1,78243.2,13250,1748.88,28.5,1.47101
10305.9,39986.3,16891,7747.92,65207.1,7787,586.08,19.5,1.47218
18428.8,53876.5,22417,11066.4,73809,9826,1390.32,52.5,1.47334
25966.7,57369.6,29663,16120.1,71759.7,14722,1728,39.75,1.4745
10888.3,40599.5,17576,7849.44,65816.4,7816,832.32,16.5,1.47567
7531.52,34764.5,14198,5529.6,63643.8,5694,694.8,-7.5,1.47683
