"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Event #","FITC-A","PE-A","(Event #%8) - 0.5 + (Event #/(89159 + 1))","Time"
24657.9,67268.1,24023,18345.6,79438.2,15135,9121,2113.2,26.25,-0.397712,1.76196
10427.5,47852.2,14281,7045.2,70415.5,6557,9145,591.84,12.75,-0.397443,1.76545
18903.7,91026.6,13610,10658.9,119225,5859,9153,822.96,9.75,-0.397353,1.76661
15621.1,51447.1,19899,7909.2,69463.6,7462,9161,1223.28,-11.25,-0.397263,1.76661
22540.2,74070.7,19943,14056.6,94589.9,9739,9185,1139.76,49.5,-0.396994,1.76894
7676.16,44984.8,11183,6260.4,71602.4,5730,9281,532.8,23.25,-0.395917,1.78174
20429.4,60141.2,22262,14770.1,72659.7,13322,9289,1893.6,41.25,-0.395828,1.78174
28293.8,112488,16484,19569.6,127550,10055,9305,1926,61.5,-0.395648,1.78407
9519.36,43386.9,14379,5636.88,63616.1,5807,9329,569.52,10.5,-0.395379,1.78756
18424.3,60998,19795,13831.9,73133.4,12395,9345,1444.32,32.25,-0.3952,1.78989
6281.6,36398.8,11310,2440.08,62933.1,2541,9353,379.44,-6.75,-0.39511,1.79105
8495.36,41930.4,13278,5827.68,63920.1,5975,9369,487.44,17.25,-0.39493,1.79454
20171.5,63491.7,20821,14206.3,75736.2,12293,9377,1303.2,54.75,-0.394841,1.79454
16720,56619.8,19353,9105.84,71639.9,8330,9393,1300.32,65.25,-0.394661,1.79803
25507.8,69537.5,24040,20599.2,77944,17320,9401,1761.84,47.25,-0.394572,1.79803
8209.28,41340.4,13014,5189.76,64148.6,5302,9409,460.8,8.25,-0.394482,1.7992
11379.2,46279.5,16114,7068.24,64247.5,7210,9465,524.16,33.75,-0.393854,1.80618
20926.7,62208.7,22046,15576.5,73742.7,13843,9497,1689.12,16.5,-0.393495,1.80967
16447.4,59929.6,17986,13079.5,72335.8,11850,9505,924.48,43.5,-0.393405,1.81083
9694.08,44072.9,14415,5958.72,64207.6,6082,9513,323.28,-17.25,-0.393315,1.81083
18564.5,62162.4,19572,14279.8,74771.4,12516,9537,1391.76,50.25,-0.393046,1.81549
11748.5,53001.2,14527,8303.76,74080.5,7346,9657,992.88,38.25,-0.3917,1.83178
9068.8,44306.9,13414,5330.16,64236.4,5438,9673,797.04,-0.75,-0.391521,1.83295
9944.96,48089.2,13553,6786,69434.4,6405,9697,399.6,-15.75,-0.391252,1.83644
19506.6,60238.5,21222,10094.4,72970.1,9066,9705,1139.04,28.5,-0.391162,1.8376
15537.3,69259.4,14702,7941.6,101454,5130,9737,709.92,3,-0.390803,1.84342
11291.5,47100.8,15711,6189.12,64484.9,6290,9753,604.8,5.25,-0.390624,1.84458
14045.4,49726.2,18511,7799.76,63879.7,8002,9833,1015.92,19.5,-0.389726,1.85389
15634.6,58026.2,17658,12766.3,72281.1,11575,9841,1303.92,39,-0.389637,1.85506
7792,41158.7,12407,3119.76,62736,3259,9849,238.32,3,-0.389547,1.85506
12917.1,48741.2,17368,6870.24,64028.5,7032,9873,609.12,24.75,-0.389278,1.85855
15074.6,71938.1,13733,8474.4,91980.5,6038,9881,703.44,39,-0.389188,1.85971
19920,55441.3,23547,8692.56,69143.8,8239,9889,1266.48,29.25,-0.389098,1.86088
13051.5,50202.2,17038,9414,65417.9,9431,9905,627.12,33.75,-0.388919,1.8632
13374.7,49833.7,17589,6492.24,64652.1,6581,9945,429.12,33.75,-0.38847,1.86786
11625.6,52865.3,14412,8750.16,72005.3,7964,9953,784.08,15,-0.38838,1.87019
8275.2,46547.4,11651,5939.28,69370.3,5611,9969,776.16,2.25,-0.388201,1.87135
21760,57322.3,24878,12733.9,68550.2,12174,10009,1725.12,27.75,-0.387752,1.876
9015.68,44697.1,13219,5784.48,64046.6,5919,10033,489.6,13.5,-0.387483,1.8795
9345.28,45142.8,13567,4641.12,64509.1,4715,10089,400.32,34.5,-0.386855,1.88764
11733.8,48824.4,15750,8022.96,64451.2,8158,10105,496.8,6.75,-0.386676,1.88997
8855.68,45744.9,12687,6560.64,68530.1,6274,10113,835.2,11.25,-0.386586,1.88997
10139.5,46667.9,14239,5775.84,64517.7,5867,10137,408.96,-12.75,-0.386317,1.89463
18682.9,57844.8,21167,12708,69483.7,11986,10169,1368.72,15.75,-0.385958,1.89812
8876.16,44650.6,13028,5700.24,64143.4,5824,10201,243.36,6,-0.385599,1.90277
9467.52,45398.6,13667,5960.16,63960.2,6107,10233,264.24,-18.75,-0.38524,1.90626
16620.8,58597.1,18589,12837.6,72142.4,11662,10249,877.68,43.5,-0.385061,1.90859
25836.2,65253.5,25948,18794.2,74185,16603,10289,1880.64,81.75,-0.384612,1.91325
19182.1,93237.2,13483,13466.9,132438,6664,10305,1296.72,3,-0.384432,1.91557
27330.6,76387.6,23448,20921.8,82757.6,16568,10321,1509.12,63,-0.384253,1.9179
20515.2,65974,20379,16241.8,77232.6,13782,10329,1626.48,66.75,-0.384163,1.91906
10842.2,51763.5,13727,7686,70008.3,7195,10345,539.28,4.5,-0.383984,1.92139
22180.5,66073.6,22000,10755.4,79807.9,8832,10369,1142.64,17.25,-0.383715,1.92488
8385.92,44058,12474,4022.64,63463.6,4154,10385,496.08,-1.5,-0.383535,1.92721
16143.4,63717.8,16604,12690.7,72246.3,11512,10393,1884.24,12.75,-0.383446,1.92837
21267.2,60961.7,22863,14868.7,69832.1,13954,10409,1335.6,-4.5,-0.383266,1.93187
13946.2,51364.5,17794,8367.84,65425.3,8382,10425,709.92,3,-0.383087,1.93419
11298.6,47836.6,15479,5490.72,63587.2,5659,10457,448.56,16.5,-0.382728,1.93885
18125.4,60233.7,19721,11947,69994.3,11186,10505,1293.84,-3,-0.382189,1.94467
13589.1,50431.9,17659,4932,65297.7,4950,10521,990.72,27,-0.38201,1.94816
20384,99611.2,13411,8268.48,112541,4815,10537,890.64,-5.25,-0.38183,1.94932
8430.72,49601.9,11139,6642,70998.2,6131,10553,696.96,27,-0.381651,1.95165
8520.96,44685.1,12497,4485.6,64438.5,4562,10561,475.2,7.5,-0.381561,1.95281
10615.7,47192.3,14742,6811.92,63611.6,7018,10593,659.52,12,-0.381202,1.95631
10204.2,46321.3,14437,4308.48,63723.9,4431,10609,1617.12,36,-0.381023,1.95863
10686.7,52305.1,13390,7163.28,70456.7,6663,10617,555.12,-3.75,-0.380933,1.9598
7214.08,42002.7,11256,3289.68,63502.9,3395,10649,337.68,9,-0.380574,1.96212
7756.8,43230.7,11759,5553.36,63872.4,5698,10665,398.16,7.5,-0.380395,1.96445
9824,45577.4,14126,4021.2,63303.7,4163,10673,435.6,-0.75,-0.380305,1.96562
9738.88,48166,13251,6519.6,69103.8,6183,10689,840.24,33,-0.380126,1.96678
8064.64,44109.9,11982,4945.68,64837,4999,10705,529.2,-15.75,-0.379946,1.96911
10060.8,53535.6,12316,7405.2,72186.1,6723,10745,697.68,35.25,-0.379498,1.97493
20159.4,61361,21531,13645.4,71530,12502,10761,1906.56,18.75,-0.379318,1.97842
14042.2,60306.2,15260,7619.04,72281.6,6908,10777,1102.32,7.5,-0.379139,1.97958
8766.72,44314.4,12965,5132.88,62607.2,5373,10785,527.04,-27.75,-0.379049,1.98074
9556.48,46665.2,13421,6302.88,64220.4,6432,10801,368.64,15.75,-0.378869,1.98191
8583.68,45664.4,12319,6225.12,67611.8,6034,10833,509.04,-0.75,-0.378511,1.98773
13075.2,51191.6,16739,7142.4,65201.9,7179,10849,690.48,3,-0.378331,1.99005
9678.08,47209.7,13435,6525.36,64346.4,6646,10857,756,4.5,-0.378241,1.99122
11813.1,56027.3,13818,7974.72,72037.4,7255,10865,876.96,6.75,-0.378152,1.99122
9185.92,46845.3,12851,4554,63676.3,4687,10889,432,23.25,-0.377882,1.99704
11953.9,57650.5,13589,9353.52,72414.9,8465,10905,540.72,39.75,-0.377703,1.99937
7820.16,44188.8,11598,3664.8,63758,3767,10921,347.04,3.75,-0.377524,2.00169
16633,51961.9,20978,9478.8,65513.9,9482,10937,746.64,19.5,-0.377344,2.00402
13255,52279.9,16616,8436.24,67555.9,8184,10953,810,35.25,-0.377165,2.00635
