"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
12163.4,69704.7,11436,5804.5,69416.7,5480,17676.8,-14.72,0.820181
18307.1,73010.1,16433,7259.85,69144.2,6881,18185,35.84,0.823773
16776.6,66546.1,16522,6487,66065.6,6435,12131.6,22.4,0.827365
11261.3,63688.5,11588,3343.6,60936.1,3596,10854.3,-2.56,0.828562
11827.7,63966.2,12118,5380.7,64702.7,5450,6706.7,-1.92,0.830957
5941.3,63612,6121,3232.45,61510.4,3444,8543.6,-7.68,0.833351
20123.7,79846.7,16517,9807.85,73333.4,8765,14838.8,-8.32,0.834549
8297.17,63132.9,8613,3361.8,61250.7,3597,7662.85,9.6,0.838141
13757,64852.6,13902,5385.9,62884.4,5613,10058.1,-32.64,0.840536
11234.8,66260.1,11112,5309.85,67439.2,5160,14261.6,-15.36,0.84293
20222.8,67125.4,19744,10663.2,66707.4,10476,6875.05,-17.28,0.846522
9412.86,66994,9208,6129.5,67660.9,5937,8577.4,0.64,0.848917
15322.9,69217,14508,10323.9,75310.6,8984,7529.6,10.88,0.848917
16014.4,64865.1,16180,5288.4,63616.1,5448,12911.6,36.48,0.850114
10620,65678.2,10597,3165.5,63538.8,3265,10032.1,21.76,0.850114
18387.3,66757.1,18051,8451.95,66969.8,8271,6654.7,8.96,0.854904
14886.3,67300.5,14496,6895.85,68807.3,6568,15978.3,-4.48,0.856101
12974.1,63429.4,13405,3672.5,61697.2,3901,10234.9,14.08,0.858496
12411.8,65324.6,12452,5727.15,67749.9,5540,12253.1,-13.44,0.858496
9890.76,69639.1,9308,6243.25,68318.2,5989,7495.8,5.12,0.863285
10716.8,65534.5,10717,4366.7,63878.6,4480,10411,-32.64,0.863285
15440.3,69810,14495,6325.8,68342.8,6066,16446.9,-0.64,0.863285
8542.61,63518.1,8814,2850.25,61384.8,3043,10329.8,-14.08,0.869272
15150,64052.1,15501,4782.7,64653.3,4848,13452.4,3.2,0.870469
11541,64381.2,11748,3772.6,62561,3952,9205.3,31.36,0.871666
13562.3,65010.3,13672,4124.25,62263.7,4341,12344.8,19.2,0.871666
14473.3,64455.1,14716,4960.15,65314.1,4977,9131.2,-20.48,0.875259
12482,68471,11947,6056.05,68077.1,5830,7559.5,-25.6,0.876456
13998.3,65453.4,14016,8144.5,68961,7740,7031.05,2.56,0.878851
9799.31,63787,10068,3168.75,62027.2,3348,7842.9,14.08,0.878851
20302.5,71304.6,18660,10102.9,70406.9,9404,7319.65,-6.4,0.886035
18369.6,66523.4,18097,8043.1,78287.9,6733,13589.5,20.48,0.887232
21777.5,83243.5,17145,15417.3,119545,8452,13363.3,10.88,0.892021
16178.4,65529.5,16180,5316.35,63393.8,5496,9842.95,-25.6,0.896811
15368.9,69520.8,14488,8680.75,99580.2,5713,11673.3,-18.56,0.903995
15727.6,70395.2,14642,9954.1,69031.9,9450,6947.85,12.16,0.906389
17879.9,66079.1,17733,8704.15,73386.7,7773,13164.4,81.92,0.906389
10040,74365.2,8848,6782.1,70105.9,6340,11521.9,-11.52,0.907587
12201.2,65774.3,12157,4250.35,63350.2,4397,8592.35,24.32,0.908784
11010.6,66987.5,10772,6583.85,67545.3,6388,19509.8,10.24,0.914771
11956.9,64675.6,12116,5447.65,71517.9,4992,9192.95,3.84,0.91956
16251.5,65614.9,16232,7022.6,63876.9,7205,12745.8,1.28,0.92435
10074.2,69003.6,9568,6267.3,70963,5788,10569,4.48,0.926744
15984.3,66300.4,15800,5306.6,64058.4,5429,12691.9,-1.28,0.929139
12089.1,72919.6,10865,7999.55,70379.7,7449,6897.15,33.92,0.932731
10566.9,74777.3,9261,8882.9,69196.4,8413,20303.4,3.84,0.933928
14013.1,65611.3,13997,5855.2,63520.3,6041,7991.1,17.92,0.933928
27633.2,79175.1,22873,18058.9,73146.6,16180,27508.6,-3.84,0.933928
12682.6,64531.8,12880,4612.4,65202.4,4636,15855.4,16.64,0.935126
11971.1,70368.5,11149,7332.65,68415.8,7024,17010.5,8.96,0.93752
15275.7,64371.6,15552,6087.25,63727.5,6260,11738.3,32,0.944704
14419,71199.8,13272,8034,69415.5,7585,10832.9,27.52,0.945902
12079.7,64677.5,12240,3130.4,61793.3,3320,14024.4,-8.32,0.945902
17445.1,65687.1,17405,5998.85,64491.6,6096,18108.3,11.52,0.948296
16295.2,66678.5,16016,8397.35,66593.5,8264,11407.5,-37.76,0.951889
17148.9,70224.5,16004,10912.8,70116.1,10200,8866,10.88,0.954283
16039.7,73079.8,14384,9303.45,70896.6,8600,12733.5,23.04,0.955481
13266.7,66988.9,12979,5077.8,66662.4,4992,8676.2,-15.36,0.956678
12580,64510.3,12780,5032.95,63369.7,5205,8481.85,6.4,0.959073
20888.9,69956.5,19569,9213.1,68949.4,8757,17652.7,18.56,0.96027
10530.9,75344.3,9160,7400.9,69408.3,6988,10091.9,20.48,0.96027
21727.3,72560.3,19624,13607.1,72447.4,12309,7567.95,30.08,0.962665
15037.3,65989.4,14934,5296.85,63322.6,5482,11271,20.48,0.966257
15292.2,64757.7,15476,6143.15,63782.9,6312,11216.4,13.44,0.966257
11940.4,64104.8,12207,5194.15,65842.1,5170,11867,-10.88,0.966257
23484.9,74234.8,20733,13078,67721.2,12656,9053.85,6.4,0.967454
13832,70096.8,12932,6542.25,76837.4,5580,19827.6,28.16,0.981822
14261.5,66698.1,14013,6207.5,66245.7,6141,17573.4,0.64,0.984217
14666.2,64930.4,14803,4727.45,63709.3,4863,7839.65,-1.28,0.987809
17440.4,66606.9,17160,8754.85,64459.9,8901,10818.6,6.4,0.987809
11336.3,66828.6,11117,7302.75,67674.3,7072,12289.5,3.2,0.991401
15624.4,69619.2,14708,7473.05,69135.2,7084,10259.6,11.52,0.992598
7072.33,63526.9,7296,2588.3,63105.2,2688,11004.5,1.28,1.00457
13467.9,66543.6,13264,5623.15,63934.6,5764,8451.3,18.56,1.00697
13988.3,64604.5,14190,5296.85,63172.8,5495,6984.25,-17.28,1.00936
8182.71,68010.4,7885,5796.05,68614.5,5536,13817,6.4,1.01655
7841.1,63756.1,8060,2860,62875.9,2981,9003.8,14.08,1.02493
17937.8,64605.9,18196,8705.45,65577,8700,12374.7,26.88,1.02612
13377.1,69024.5,12701,6476.6,69445.4,6112,16571.1,5.76,1.03091
7975.62,71269.5,7334,7146.1,70894.2,6606,6554.6,21.76,1.0357
12388.2,67036.2,12111,7506.2,68361.1,7196,9519.9,19.2,1.0369
13795.4,67454.6,13403,6481.15,68003.3,6246,8879.65,15.36,1.0369
13850.8,64671.5,14036,3707.6,61858.8,3928,9359.35,38.4,1.04289
14616.1,64717.2,14801,5506.8,63082.3,5721,9558.9,33.28,1.04528
27435.6,74802.1,24037,20525.7,71335.4,18857,8113.95,28.8,1.04768
17416.2,71799,15897,11141.6,70256.8,10393,7350.2,16,1.05247
11777.6,65190.5,11840,7537.4,67152.1,7356,14306.5,-21.76,1.05247
13667.9,72441.7,12365,8572.85,70228.8,8000,12169.9,32,1.05486
10683.1,71361.7,9811,6518.2,68821.8,6207,11668.8,1.28,1.05486
12201.8,64524.9,12393,5870.15,66500.6,5785,10650.2,-10.88,1.05725
9278.93,63311.2,9605,3821.35,62907.8,3981,11442.6,13.44,1.06324
13758.2,64769.6,13921,3939.65,62835,4109,11532.3,13.44,1.06444
7213.93,62960.7,7509,3422.9,63136.3,3553,10047,21.12,1.06564
18382,65554,18377,7252.7,64266.2,7396,7359.95,14.72,1.06923
9337.93,61984.3,9873,3901.95,62233.7,4109,10991.5,-0.64,1.07282
13084.4,64722,13249,5038.15,65551,5037,7596.55,12.16,1.07641
11761.6,69286.4,11125,6557.2,70901.3,6061,13669.5,19.84,1.07641
13084.4,72620.4,11808,7770.75,72092.8,7064,16411.2,37.76,1.07881
16301.7,66008.5,16185,5229.9,64669.2,5300,9317.1,9.6,1.0824
17482.9,65471.9,17500,6528.6,64388,6645,6754.8,16.64,1.0836
10669,76124.3,9185,7759.05,69609.5,7305,9199.45,14.08,1.08479
14650.9,64006.4,15001,4332.25,62427.1,4548,11978.8,17.28,1.08958
8671.82,71423.4,7957,6364.8,68957.4,6049,12529.4,2.56,1.09318
15051.5,69558.9,14181,7125.3,68540.1,6813,14170,19.84,1.09318
9676,63949.8,9916,3242.2,63219.5,3361,7268.3,5.76,1.09557
10481.3,64619.5,10630,3957.85,63605.1,4078,9738.95,-7.68,1.09796
21374.5,74269.7,18861,13022.8,69364.3,12304,12548.9,23.04,1.10754
8201.59,70454.8,7629,5263.05,68436.4,5040,7522.45,3.2,1.10874
13853.2,63399.7,14320,3159,61469.2,3368,10819.2,-10.24,1.11114
12611.8,64907.3,12734,6078.15,65830,6051,12981.8,-22.4,1.11712
12853.1,64716,13016,4598.75,64219.8,4693,10537.1,10.88,1.12311
11093.8,63641.6,11424,3812.9,62408.1,4004,7426.25,-15.36,1.1255
11826,64515.6,12013,5343,65328.1,5360,9850.1,-3.84,1.1267
24498.6,75718.6,21204,14441,72200.8,13108,18878.6,-24.96,1.1267
15700.5,64612.1,15925,4856.15,62982.9,5053,7822.1,-7.04,1.1267
12132.2,63919.4,12439,4595.5,64628.9,4660,8351.2,-2.56,1.13508
18292.4,68853.5,17411,8427.25,69777.4,7915,11434.1,14.72,1.14107
12686.2,64761,12838,4741.1,63076.1,4926,7835.75,5.12,1.14945
15201.9,64655.4,15409,5559.45,63331.1,5753,8107.45,-1.92,1.15304
12541,65105.3,12624,6393.4,64263.5,6520,6513,26.88,1.15304
11426.5,63802.4,11737,3791.45,62667.5,3965,7048.6,-21.76,1.15663
20490.1,76869.9,17469,11856.6,73029.8,10640,9896.9,-5.12,1.16621
11495,64140.9,11745,5076.5,63141.7,5269,8509.8,-16.64,1.16981
14303.4,63915.6,14666,7461.35,72625.4,6733,13241.8,94.72,1.1734
24853.7,82010.8,19861,17258.1,76025.4,14877,11401,4.48,1.17819
18894.8,66836.8,18527,7498.4,64916.1,7570,12871.9,10.24,1.18178
13524.6,69637.5,12728,10004.8,87927.4,7457,17747.6,32,1.18896
18924.2,77142.5,16077,11265.1,71145.1,10377,19437.6,7.04,1.18896
9363.3,64241.3,9552,3376.1,64169.4,3448,9124.05,3.2,1.19016
8841.74,64212.3,9024,3084.25,62540,3232,10192,-25.6,1.19016
11769.9,63491,12149,6384.3,66444.6,6297,13466,12.8,1.19136
13085.6,64963.1,13201,4475.25,75492.9,3885,10223.8,28.16,1.19375
12813.6,72592.8,11568,7176,70826.2,6640,12333.8,-15.36,1.19854
16056.8,65376.6,16096,6980.35,72613.4,6300,11997.7,41.6,1.20094
14622.6,65565.4,14616,5343.65,63247.5,5537,14496.3,10.24,1.20213
12591.2,63705.4,12953,5552.95,64387.5,5652,12593.1,13.44,1.20213
12817.7,82331.1,10203,10635.9,75453.3,9238,12669.8,0.64,1.20213
12442.5,65297.3,12488,4728.75,62873.5,4929,13462.8,3.2,1.20453
4872.81,61756.8,5171,2255.5,61182.3,2416,7415.2,-6.4,1.20812
21008.1,73735.5,18672,12752.3,70088.7,11924,9935.25,-5.12,1.21291
15410.2,66211.5,15253,4713.15,62972.7,4905,11046.1,-7.04,1.2177
12498,71722.2,11420,7466.55,70457.6,6945,12127,1.92,1.2189
11884.4,71389,10910,5469.75,69754,5139,14486.5,-33.92,1.2189
13561.7,73440.9,12102,7829.25,69582,7374,8520.85,-34.56,1.22009
6930.73,62042.4,7321,2939.3,61661.3,3124,7185.1,6.4,1.22728
23536.3,65715.5,23472,13024.7,63322.5,13480,13672.1,7.68,1.22728
19395.1,71517.2,17773,11924.2,71872.3,10873,7987.2,-16.64,1.23207
7450.52,62343.9,7832,2710.5,60750.8,2924,8440.25,24.96,1.23326
24528.1,71443.2,22500,17493.4,71438.9,16048,7228.65,21.12,1.23925
13928.1,64953.7,14053,5562.7,63368.2,5753,13087.1,-1.28,1.24165
19897.2,71158.5,18325,9614.15,69659.8,9045,19538.3,37.76,1.24284
14981.9,70408.9,13945,7405.45,69213.3,7012,18634.2,39.04,1.24284
12262,77627.6,10352,9155.9,71263.8,8420,11777.3,16.64,1.24284
17252.2,73686.1,15344,7777.9,71072.6,7172,7450.95,-21.76,1.24763
13135.8,66604.7,12925,8060.65,67243.2,7856,8578.7,-11.52,1.24883
11595.9,64902.7,11709,5989.75,67621.8,5805,12431.9,1.92,1.25362
16633.3,66573.8,16374,5695.95,63419.9,5886,15177.5,-15.36,1.26918
11972.9,65898.5,11907,5945.55,64650.3,6027,6949.8,11.52,1.27517
16265.7,66508,16028,6295.9,65327.4,6316,11347,10.88,1.27637
12895,63732.2,13260,4819.1,62651.2,5041,8017.75,-2.56,1.28595
14881.6,64417.3,15140,4945.85,63158.8,5132,12442.9,-8.32,1.28954
9935.01,65136.1,9996,2964,62419.2,3112,11154,19.2,1.29433
17330.1,74986.4,15146,8646.95,70387.1,8051,17906.8,-8.32,1.29433
12054.9,64703.4,12210,3872.05,62043.7,4090,10019.1,-24.96,1.29433
18889.4,72747.1,17017,11165.7,71621.3,10217,12556.7,26.88,1.29553
17214.4,82704,13641,14643.8,75329.6,12740,10040.5,55.04,1.29672
13819.6,75448.1,12004,9976.85,69795.3,9368,22575.1,-37.12,1.29912
18301.8,64481.8,18601,6115.2,64020.1,6260,14302.6,-33.28,1.30271
17364.3,64983.2,17512,6116.5,62740.8,6389,14608.1,39.68,1.30391
13555.2,64706.6,13729,3216.85,61409.7,3433,12028.9,8.96,1.3051
14893.4,65630.2,14872,6490.9,87366.5,4869,13952.9,8.32,1.3075
16514.7,64913.7,16673,5183.75,62993.2,5393,7337.85,23.04,1.3087
15600.2,63058.9,16213,8548.15,122504,4573,12386.4,376.32,1.3087
9668.33,66936.8,9466,4494.1,66409.3,4435,8162.7,-3.84,1.30989
16397.9,66075.4,16264,6227,63804.4,6396,8620.95,10.24,1.31468
14514.6,70393.6,13513,6046.3,68178,5812,13677.9,-40.32,1.31588
12192.3,71082.5,11241,7329.4,70431,6820,19478.5,53.76,1.31828
11906.8,63435.8,12301,3755.05,62018.9,3968,9094.15,-37.12,1.31947
9799.9,63949.6,10043,3701.1,70387.5,3446,9528.35,-27.52,1.31947
16396.7,70681.7,15203,10826.4,68785.2,10315,7760.35,8.96,1.32187
12308,71080.1,11348,5806.45,66387.2,5732,7034.3,2.56,1.32187
10910.3,63421.7,11274,4261.4,61854.9,4515,8183.5,-5.76,1.32546
9459.47,63990.1,9688,2973.1,62032.8,3141,9355.45,10.24,1.33025
11921.5,74189.5,10531,6867.25,69808,6447,8407.1,8.32,1.33145
