"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
17134.1,67636.4,16602,6578.64,66667.4,6467,94656.2,-10.5,1.26019
14208,67478.5,13799,4963.68,66564.3,4887,13201.2,-32.25,1.26019
13760.6,66363.8,13589,5126.4,65965.8,5093,105188,-21.75,1.26254
11089.9,65648,11071,3324.96,64949.2,3355,558,25.5,1.26254
8900.48,69152.6,8435,4991.04,69787.2,4687,6414.48,14.25,1.26254
12649,66295.8,12504,5101.92,66938.8,4995,653.76,39.75,1.26254
20705.3,67315.3,20158,9053.28,66144.5,8970,1357.92,38.25,1.26254
21086.1,67004.3,20624,9495.36,66597.6,9344,814.32,53.25,1.26254
13056.6,65846.9,12995,3800.16,65763.8,3787,740.88,20.25,1.26254
13918.1,73222.7,12457,8166.24,73736.9,7258,111565,-3,1.26489
15259.5,66369,15068,4895.28,65419.5,4904,24968.9,0.75,1.26489
11306.9,74435.7,9955,6938.64,71509.8,6359,24343.9,17.25,1.26489
22480,78842.4,18686,17243.3,74828.2,15102,1321.92,20.25,1.26489
12900.5,69230.7,12212,9073.44,70790.1,8400,779.04,3.75,1.26724
12570.9,65519.7,12574,3607.92,66436.8,3559,654.48,12,1.26724
9856,66194.2,9758,4324.32,66431.9,4266,43199.3,15,1.26724
13383.7,66432.8,13203,5040.72,66455.2,4971,95286.2,-7.5,1.26724
14103.7,66736.4,13850,6203.52,66889.4,6078,89246.2,20.25,1.26724
26552.3,76051.4,22881,16634.2,73173.3,14898,200890,48.75,1.26724
12782.1,65767.9,12737,4288.32,66502.5,4226,104243,2.25,1.26959
11373.4,66278.7,11246,4126.32,65860.3,4106,17223.8,-8.25,1.26959
14543.4,76401.9,12475,9869.76,74596.3,8671,17366.4,9,1.26959
18787.2,67244,18310,6726.24,66567.6,6622,6927.12,3,1.26959
9392.64,74667.2,8244,5557.68,73373.9,4964,24248.9,27.75,1.26959
12677.1,66289.6,12533,4474.08,66563.8,4405,83692.1,15.75,1.26959
20032,67445,19465,7787.52,66618.3,7661,101629,13.5,1.26959
16573.4,70115.4,15491,7129.44,69374.2,6735,57287.5,21,1.26959
18842.9,72308.6,17078,11154.2,72190.8,10126,73027.4,37.5,1.26959
12129.9,67112.4,11845,4551.84,69747.4,4277,646.56,5.25,1.27194
14380.8,66174.7,14242,6305.76,66120.7,6250,517.68,27,1.27194
14535,73785.3,12910,10132.6,71626.3,9271,89881.2,25.5,1.27194
16422.4,73514.9,14640,11602.8,72089.6,10548,77184.7,46.5,1.27194
11785,66357.9,11639,3351.6,65469.6,3355,49453.9,2.25,1.27194
22626.6,74609,19875,13871.5,72477.4,12543,1116,44.25,1.27194
13375.4,65872.7,13307,4548.96,66693.7,4470,82958.4,15,1.27194
11832.3,70156.8,11053,7378.56,71384.9,6774,55791.4,65.25,1.27194
10577.3,74201.7,9342,6927.12,71011.4,6393,861.84,15,1.27429
11272.3,71632.2,10313,6830.64,72753.6,6153,68557,-4.5,1.27429
22733.4,70035.2,21273,11079.4,67853.2,10701,15951.6,2.25,1.27429
15600,77941.7,13117,8232.48,73324.8,7358,164486,22.5,1.27429
12585.6,74080.3,11134,7369.2,72351.7,6675,54205.9,9.75,1.27429
18612.5,76403.9,15965,10244.9,72373.5,9277,176191,40.5,1.27665
10119,65054.1,10194,3201.84,65146.2,3221,95139.4,21.75,1.27665
12351.4,74783.7,10824,6897.6,72675.4,6220,91377.4,4.5,1.27665
22017.9,77922.4,18518,13111.9,74527.6,11530,146383,-16.5,1.27665
