"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
21061.1,73692.6,18730,8483.08,65183.2,8529,17865,1505.52,1.26737
12535.7,70198.9,11703,6443.96,64015.7,6597,12441.3,1229.44,1.26737
7768.96,63028.8,8078,2108.7,52327.1,2641,9294.61,560.32,1.27682
14571.5,63414.5,15059,4280.59,57007.3,4921,12343.3,675.24,1.278
8544.64,63583.7,8807,2497.78,52651.8,3109,6991.37,526.32,1.28036
15194.9,71073.6,14011,9465.01,65130.1,9524,11551.7,737.8,1.2969
15722.9,75168.9,13708,9763.21,66359.9,9642,15575.3,1457.92,1.2969
15012.5,68181.4,14430,6710.92,63436.7,6933,8936.77,909.16,1.29808
8088.96,62654.3,8461,1863.04,49331.8,2475,7261.17,469.88,1.30871
15464.3,67340.2,15050,6147.18,61969.2,6501,8378,746.64,1.32997
9364.48,63452.3,9672,2068.23,52988.1,2558,8232.45,531.08,1.33233
12164.5,65121,12242,4492.17,75719.9,3888,10055.7,673.88,1.33233
14560,66844.4,14275,3732.47,58449.5,4185,8314.1,692.92,1.36186
12864.6,63798.5,13215,3695.55,54881.4,4413,8031.52,550.12,1.37958
15792,68548.4,15098,10143.8,64711.6,10273,7437.96,378.76,1.38076
9872,67322.7,9610,4945.15,60554.1,5352,7056.69,754.8,1.39966
16064.6,67857.7,15515,6962.26,63398.5,7197,6371.54,551.48,1.41029
10178.6,61891.1,10778,2493.52,50987.6,3205,7700.66,524.28,1.41501
13083.5,64551.8,13283,5626.04,61646.6,5981,6956.58,995.52,1.41501
13174.4,71716.7,12039,5704.85,62053.6,6025,8682.59,942.48,1.41619
15178.9,65277.5,15239,5171.64,55735.7,6081,7763.85,743.92,1.42328
11736.3,68809.4,11178,4738.54,59162.7,5249,6470.23,743.92,1.42328
10702.1,65548.7,10700,3547.87,58157.4,3998,6611.52,580.04,1.43155
17467.5,69286.5,16522,8719.51,62187.6,9189,8069.15,605.88,1.44454
17653.1,71653.4,16146,10611.7,63662.2,10924,6545.49,515.44,1.44572
9389.44,62421,9858,1723.88,46150.4,2448,7242.71,556.92,1.44926
11689.6,63021.5,12156,2710.07,50256.7,3534,8955.94,607.92,1.45163
7831.68,64944.6,7903,2807.34,52506.2,3504,9634.7,545.36,1.45635
15683.2,65927.8,15590,5396.71,56898.1,6216,9752.56,949.28,1.45635
22474.2,69771.3,21110,10558.4,65900.6,10500,7792.25,606.56,1.46344
22231,72232.7,20170,9660.97,64944.2,9749,6970.07,648.04,1.49415
7340.8,63585.3,7566,1863.04,49133.3,2485,7562.21,512.04,1.49533
17611.5,72417.4,15938,8554.08,65216.4,8596,9308.81,784.72,1.49651
19821.4,67548.1,19231,9533.88,68872.6,9072,8870.03,969,1.50714
9144.32,67861.2,8831,12939,121835,6960,9149.77,743.92,1.51777
12255.4,70213.1,11439,5491.85,63398.6,5677,9195.92,902.36,1.53431
18309.8,70722.5,16967,14604,88973.4,10757,9371.29,630.36,1.54258
7110.4,61884.1,7530,1528.63,47773.1,2097,6842.27,502.52,1.54612
12656.6,63424.5,13078,4986.33,65724.9,4972,6639.21,603.84,1.55557
6376.32,62156.6,6723,1972.38,50316,2569,7726.93,446.08,1.55557
19309.4,81970.7,15438,14584.8,92466.9,10337,14569.2,1281.12,1.56265
11383.7,74589.2,10002,7805.03,64357.1,7948,10562,1116.56,1.5662
22844.2,73337.7,20414,13561.7,68977.9,12885,7279.63,578.68,1.57565
9497.6,68891.5,9035,5885.9,73001.2,5284,7046.04,849.32,1.57565
13598.1,68980.9,12919,6488.69,63346.2,6713,12011.1,1074.4,1.591
9786.24,62883.7,10199,3469.77,55126,4125,6957.29,588.2,1.59336
7657.6,66540.5,7542,5530.19,68745.5,5272,12842.5,979.88,1.60754
12861.4,62944.3,13391,3823.35,64829.8,3865,9291.77,690.2,1.61344
9441.28,62733.8,9863,2383.47,51637.4,3025,9719.19,483.48,1.61581
19580.8,76974.8,16671,12482.5,81027.5,10096,10275.1,868.36,1.62526
9721.6,63514.6,10031,4659.73,58189.8,5248,10477.5,884.68,1.63943
11114.2,64578.7,11279,3378.18,54262.8,4080,7959.81,584.12,1.64652
13613.4,63283.5,14098,4464.48,61519,4756,6507.15,620.16,1.64888
11934.1,66489.2,11763,5635.98,62592.7,5901,7034.68,640.56,1.68786
11440.6,62361.6,12023,3534.38,54565.2,4245,10354.6,625.6,1.68786
9697.92,71355.4,8907,5883.77,64052.9,6020,7722.67,757.52,1.69967
11551.4,65407.8,11574,4708.72,61276.9,5036,11498.4,861.56,1.70321
10392.3,68836.8,9894,5808.51,62692.1,6072,6339.59,796.28,1.72565
10004.5,69381.3,9450,10119.6,64532.5,10277,8598.1,1002.32,1.72565
21752.3,76490.9,18637,13232.3,68095,12735,11975.6,743.92,1.73628
12777.6,63680.1,13150,5345.59,61107.4,5733,9207.28,992.8,1.73746
15330.6,66365.3,15139,6721.57,135249,3257,10588.2,700.4,1.74337
6549.76,67248.2,6383,4167.7,60321.2,4528,7588.48,663,1.75046
11568,68502.8,11067,5254.71,62161.1,5540,8613.01,822.8,1.75636
22202.2,70794.8,20553,9470.69,65867.7,9423,9905.92,803.08,1.75991
14089,64352.8,14348,5011.89,56885.9,5774,11581.5,697.68,1.77762
9094.4,63758.1,9348,2548.9,52629.1,3174,6345.27,399.16,1.7788
6836.48,74436.9,6019,9213.67,103448,5837,10698.3,747.32,1.78589
9320.32,63986.6,9546,6829.49,66872.5,6693,6527.03,630.36,1.81424
12576,63579.5,12963,3478.29,55261.4,4125,9998.22,779.96,1.82723
19685.8,72744.6,17735,8282.86,66974.1,8105,10372.4,1251.2,1.83668
11994.2,72387.4,10859,8179.91,62949.6,8516,6399.94,527.68,1.8414
17013.8,74557.9,14955,11461.5,66378.8,11316,9775.28,993.48,1.84967
17907.8,69758,16824,8678.33,63746.1,8922,9687.24,612,1.8544
14885.8,71584.5,13628,7505.41,70854.9,6942,8870.03,860.88,1.8733
15879,75007.1,13874,22827.9,114098,13112,7493.34,769.08,1.8733
17335,70062.9,16215,8046.43,66339.3,7949,8022.29,508.64,1.88511
19115.5,73996.1,16930,10055.7,65456.1,10068,9601.33,807.84,1.8981
12854.4,65758,12811,7300.93,83241.8,5748,7466.36,654.16,1.90282
10474.2,63659.4,10783,4009.37,57022.1,4608,13749.1,796.28,1.917
11459.2,70192.6,10699,6508.57,67523.5,6317,7671.55,713.32,1.92172
13878.4,68257.8,13325,6282.79,61759.3,6667,7155.38,758.2,1.92645
8652.16,62793.8,9030,2930.88,53177.8,3612,7248.39,552.84,1.9359
16681,68828.5,15883,7951.29,63883.3,8157,6993.5,628.32,1.93944
17870.1,70554.5,16599,10754.4,63512.5,11097,7424.47,553.52,1.9418
16001.3,65333,16051,8313.39,66792.5,8157,9203.02,792.2,1.94298
21180.2,71690.1,19362,11986.2,64620.7,12156,9607.01,484.84,1.94416
12419.2,71046.2,11456,7231.35,64654,7330,12178.6,731,1.94771
7324.8,63640.2,7543,2730.66,55767.1,3209,7388.97,545.36,1.95243
33294.1,80387.6,27143,19338.3,71873.9,17633,7572.86,725.56,1.96897
13745.3,66731.7,13499,7146.86,58517.8,8004,6641.34,788.12,1.98314
9227.52,62836.1,9624,2617.77,52082,3294,7770.24,450.84,1.98314
10929.3,63084.5,11354,2802.37,52820.3,3477,9336.5,613.36,1.9985
12739.2,63450.1,13158,4335.26,58030.1,4896,12531.5,914.6,2.00204
10875.5,71402.3,9982,6649.86,63891.7,6821,7410.27,839.8,2.00322
17607.7,75401,15304,10525,67505.3,10218,9371.29,918.68,2.0044
14017.3,70028.7,13118,9513.29,64802.3,9621,11174.7,827.56,2.00676
10556.2,63474.5,10899,3474.03,55679.6,4089,9439.45,809.2,2.01031
10000.6,61511.2,10655,3811.99,57615.9,4336,6532.71,610.64,2.01149
14316.8,63422,14794,3497.46,57691.8,3973,7385.42,628.32,2.01267
17398.4,69909.4,16310,11856.3,64365,12072,9165.39,1037.68,2.01267
27531.5,72722,24811,17393.6,84587.8,13476,7308.03,517.48,2.01503
17562.2,70550.4,16314,6483.01,63871.1,6652,11215.2,1181.16,2.02448
5784.96,62366,6079,3663.6,58890.8,4077,7121.3,626.28,2.02566
16055.7,76215.1,13806,8425.57,64862.9,8513,12361.8,947.24,2.04456
13641.6,64972.1,13760,4703.75,58328.3,5285,11421.8,939.08,2.04929
10638.1,67405.7,10343,5100.64,61211.4,5461,7185.2,789.48,2.05165
13511,64925.9,13638,3764.42,56171.5,4392,10525.8,741.2,2.09063
10062.1,63756,10343,2736.34,53483.1,3353,7437.96,531.76,2.09063
14801.3,71778.6,13514,7259.04,64010.8,7432,9541.69,973.76,2.09417
13402.2,77907.5,11274,10050,66901,9845,10351.8,1260.04,2.09771
14492.2,65338.3,14536,4597.25,65468.4,4602,10969.5,641.92,2.1048
8144,62629.1,8522,3788.56,58448,4248,9269.05,679.32,2.10598
16778.2,68437.1,16067,10653.5,74905.2,9321,14519.5,1309,2.12488
14871,65356,14912,8411.37,63787,8642,6665.48,807.84,2.14378
10546.6,65390.7,10570,6129.43,64323.2,6245,6800.38,524.96,2.14496
13411.2,64422.5,13643,3788.56,56173.5,4420,7687.88,646,2.14732
12375,64371,12599,2647.59,52691.3,3293,10483.1,618.12,2.1485
5898.24,61916.9,6243,1014.59,43831.4,1517,7682.91,458.32,2.15441
16160.6,72018.5,14706,8669.1,66776.9,8508,9835.63,635.8,2.16386
15904.6,69014.5,15103,9230,62489.4,9680,7530.97,696.32,2.1674
13401,64330.9,13652,5378.96,58113.3,6066,6895.52,750.72,2.17803
15073.3,66267,14907,6375.8,61267.5,6820,10143.1,917.32,2.17803
11977,63695.7,12323,4835.81,58246.6,5441,7489.79,741.2,2.18157
13945.6,65276.7,14001,6611.52,60154.5,7203,6544.07,663,2.18984
13181.4,70135.5,12317,7435.83,63197.3,7711,9199.47,909.16,2.19457
16702.1,64213.7,17046,4742.8,58076.3,5352,6421.24,554.2,2.19693
10788.5,62780.5,11262,4159.18,58530.4,4657,10577.6,917.32,2.24181
18522.2,70125.6,17310,9927.93,65687.7,9905,6250.13,541.28,2.24417
11908.5,68273.5,11431,8911.21,67648,8633,13230.8,1260.04,2.2489
11083.5,64837.1,11203,4068.3,60692,4393,8340.37,591.6,2.2489
13184,63266.2,13657,3517.34,53820.3,4283,6483.72,390.32,2.25008
15860.5,75244.9,13814,8422.02,64660.9,8536,11279.8,963.56,2.25717
8260.48,65421,8275,3435.69,68375.8,3293,6343.85,486.2,2.26544
10390.4,68320,9967,5639.53,62941.5,5872,14870.9,1083.92,2.27252
20198.4,64802.6,20427,6198.3,58464.6,6948,7456.42,760.92,2.27843
9212.8,62690.3,9631,4069.72,56892.7,4688,7667.29,570.52,2.27843
16656.6,63994,17058,1960.31,51553.3,2492,10960.3,600.44,2.27843
15071.4,64531.3,15306,4387.09,58059.8,4952,10984.4,618.8,2.27843
9751.04,61910.9,10322,3317.83,55582.1,3912,6730.09,433.16,2.30678
21237.8,66208.6,21022,10283.6,70144.5,9608,7261.88,742.56,2.31268
6168.96,61676.4,6555,3763,70947.1,3476,6640.63,551.48,2.31386
8040.32,65262.6,8074,5132.59,60925.5,5521,6338.17,805.8,2.32449
16131.2,75598.9,13984,7730.48,65540.1,7730,10531.4,1172.32,2.32567
11884.2,64914.2,11998,5462.03,59382.8,6028,10270.9,843.2,2.32804
11600,74795.1,10164,8833.11,64449.6,8982,6512.12,488.24,2.33394
10275.2,64090.2,10507,3613.19,57530.1,4116,10117.5,650.08,2.33394
14661.1,64767.9,14835,5345.59,58145.8,6025,9788.06,776.56,2.3363
15753,64119.4,16101,5548.65,63628.4,5715,6597.32,671.16,2.35638
19977.6,80248.4,16315,16148.9,69756,15172,11668.1,881.28,2.35756
12037.8,65000.1,12137,4518.44,58952.9,5023,6604.42,809.88,2.36111
13139.8,70567.3,12203,5212.82,63311.2,5396,7796.51,627.64,2.36347
13027.8,63625.6,13419,5134.01,58444.1,5757,7703.5,774.52,2.36347
11375.4,71107.9,10484,6625.72,63687.8,6818,9926.51,923.44,2.36701
9815.04,62675.5,10263,3861.69,66863.9,3785,9979.76,453.56,2.37883
13884.2,67092.8,13562,6629.98,62608.4,6940,14577,1085.96,2.38709
10048,63427.6,10382,4402,67959.8,4245,10089.1,607.92,2.38827
7964.8,64794.1,8056,4295.5,63374.6,4442,8363.09,761.6,2.39182
11706.2,67676.4,11336,6724.41,62473.9,7054,9328.69,873.12,2.40127
16227.2,65444.1,16250,7000.6,64654.9,7096,11502.7,829.6,2.41308
7616.64,61179.6,8159,2289.04,54196,2768,7244.84,446.76,2.42843
22718.1,74974.9,19858,11881.1,68230.1,11412,12121.8,1166.2,2.42843
8924.8,62629.4,9339,2801.66,57021.6,3220,10237.5,711.28,2.4308
30645.8,79572.1,25240,19010.2,73002.2,17066,15298.4,1540.88,2.43198
13425.3,73319.9,12000,6915.4,64211.9,7058,12736.7,909.16,2.44024
11626.2,64680.6,11780,3550.71,57399.9,4054,9176.75,667.08,2.45678
13090.6,63365.3,13539,2765.45,54376.4,3333,8158.61,702.44,2.45796
7127.04,61595.4,7583,2199.58,53310.5,2704,7467.78,440.64,2.46269
13995.5,67931.4,13502,7101.42,63998.7,7272,7636.76,801.04,2.46505
13959,68855.9,13286,11825.8,105129,7372,10161.5,949.28,2.46623
12103.7,65659,12081,6760.62,61923.7,7155,6524.19,688.84,2.47922
9345.28,68125.9,8990,5567.11,61546.2,5928,10715.3,852.72,2.48395
15987.2,64290.2,16297,6017.25,59007.4,6683,7405.3,784.72,2.48867
19367,73383.3,17296,6917.53,66806.3,6786,7196.56,510,2.48867
18977.3,68267.4,18218,9203.02,65132.7,9260,6273.56,553.52,2.49103
11966.1,66419,11807,15627.8,148519,6896,8544.85,582.08,2.49222
47320.3,81974.7,37831,18615.5,76685.2,15909,13176.9,1430.72,2.50285
17287.7,71439.9,15859,6551.17,65678.1,6537,17519.2,1289.96,2.52293
19902.1,72853.9,17903,11068.2,67765.8,10704,7517.48,883.32,2.53119
15165.4,68986.1,14407,5238.38,61956.8,5541,9680.14,979.88,2.55482
11164.8,62463.4,11714,3287.3,55127,3908,10891.4,616.76,2.55718
13687.7,66007,13590,6972.2,62696.2,7288,9869.71,650.08,2.55954
13040.6,69760.1,12251,8870.74,81422,7140,7082.25,709.92,2.61505
10329,66560.3,10170,6497.92,70504.6,6040,7646.7,875.16,2.62805
18585,72503.3,16799,7918.63,68283.6,7600,9898.82,1039.04,2.63041
12135.7,63030.9,12618,3221.27,55191.9,3825,8520,487.56,2.63631
8460.16,62876.5,8818,3204.23,56754.7,3700,6931.73,497.08,2.64222
15416.3,68945.3,14654,6856.47,64366.9,6981,9008.48,1045.84,2.64458
16987.5,64341.1,17303,6453.19,65497.3,6457,8238.13,595,2.65403
16601,70354.4,15464,7515.35,65269.8,7546,8395.04,665.72,2.65758
8244.48,64307.3,8402,2349.39,54521.8,2824,7124.14,535.16,2.66466
8117.12,70834,7510,4101.67,62923,4272,12427.1,855.44,2.66466
10010.9,63413.2,10346,3076.43,60274.1,3345,6424.08,433.84,2.67529
20805.1,65875.2,20698,7379.03,64539.2,7493,9199.47,1000.96,2.68002
12142.7,64389.1,12359,3612.48,57226.9,4137,12665.7,646.68,2.68002
8946.56,64473.5,9094,4380.7,59911,4792,8855.12,898.28,2.68474
15262.1,73550.7,13599,21554.2,138814,10176,9698.6,764.32,2.69892
13359.4,62810.7,13939,3864.53,57810,4381,8588.87,524.28,2.70246
10346.9,63742.5,10638,2465.83,53421.7,3025,9433.06,490.28,2.70246
10861.4,64249.1,11079,2995.49,56590.5,3469,11024.2,550.12,2.70718
17441.9,71361.8,16018,14242.6,65511.2,14248,8456.81,622.2,2.72372
13094.4,63463.6,13522,4042.74,56180,4716,11700.1,544,2.75561
13711.4,63473,14157,5006.21,67969.1,4827,6882.03,625.6,2.75915
9338.88,63833.2,9588,5144.66,63399.9,5318,6889.84,550.8,2.76152
11472.6,68884.2,10915,5469.84,84685,4233,13579.5,952,2.7627
6487.68,61915.9,6867,2092.37,53211.3,2577,8168.55,537.88,2.7627
13410.6,70349.4,12493,7599.13,65953.7,7551,11034.8,964.24,2.76742
10602.9,64639.1,10750,13350.1,105819,8268,7810.71,635.8,2.76978
24022.4,67745.3,23239,11002.2,61664,11693,6387.16,775.2,2.7875
10678.4,67387.5,10385,5393.16,61458.2,5751,6679.68,750.72,2.79459
22768.6,85506,17451,12665.7,72532.2,11444,14620.3,1519.8,2.80286
9036.8,61518.2,9627,3241.86,63062.8,3369,10369.5,677.96,2.81112
8003.2,62336.3,8414,4207.46,57160.1,4824,6668.32,626.28,2.81231
23874.6,71139.5,21994,11565.9,70339.9,10776,6973.62,630.36,2.81821
12168.3,70236.3,11354,10353.2,107614,6305,9843.44,745.28,2.82884
13828.5,64065,14146,4928.11,57590.7,5608,9431.64,620.84,2.8312
17973.8,74317.2,15850,8637.86,66622.4,8497,13825.8,1315.12,2.84538
10320,67646.7,9998,6068.37,64940.7,6124,9886.75,954.04,2.85483
7937.28,64514.1,8063,2494.94,68672.1,2381,9293.19,521.56,2.86073
9729.92,62320.2,10232,5709.82,93223.4,4014,7895.2,589.56,2.86546
12465.3,68333.3,11955,4333.13,61030.7,4653,7927.15,706.52,2.86546
14346.2,71710.4,13111,8481.66,65233.4,8521,12339.1,1058.76,2.87018
8445.44,71964.7,7691,6227.41,80656,5060,6841.56,779.96,2.90207
9520.64,62438.2,9993,2828.64,53967.3,3435,9709.96,493.68,2.90325
16682.2,70817.9,15438,8200.5,65309,8229,12110.5,724.2,2.93278
12453.1,69339.6,11770,5746.03,63140.8,5964,13597.9,979.2,2.93751
10494.1,63732.7,10791,2664.63,54486.5,3205,7919.34,561,2.95759
25786.2,83515.1,20235,16885.2,69702.1,15876,14995.2,1498.04,2.95995
9637.12,63705.7,9914,3434.27,60878.6,3697,7104.26,545.36,2.98003
8974.72,69204.3,8499,6786.18,65470.2,6793,10600.3,829.6,2.98003
12223.4,71092.5,11268,7764.56,64363.5,7906,13614.2,952.68,2.99302
14713,65102.2,14811,4693.81,58693.7,5241,10914.1,693.6,2.99538
18489,68647.2,17651,10278.7,71260.2,9453,6625.72,575.96,2.99656
14048,62599.4,14707,4851.43,59395.3,5353,10177.8,731.68,2.99775
12615,73533.7,11243,8249.49,64577,8372,7171,555.56,3.00011
10039.7,63125.8,10423,2940.82,55112.8,3497,9880.36,618.8,3.00247
10410.9,64167,10633,4609.32,66551.3,4539,8604.49,820.08,3.00601
12087.7,71155.9,11133,8128.79,72906.6,7307,11298.2,1030.2,3.01782
15325.4,67720.9,14831,7348.5,62601.2,7693,6585.96,461.72,3.01901
14323.8,63363.3,14815,5419.43,67266.6,5280,7954.13,595.68,3.02019
22033.9,72728,19855,11556.7,66670.6,11360,18162.5,1044.48,3.02137
17908.5,71870.8,16330,9518.26,71865,8680,13050.5,1339.6,3.03082
9537.92,66455.1,9406,5036.74,62694.7,5265,9955.62,664.36,3.032
12635.5,64043.4,12930,3885.12,55787.7,4564,8943.16,603.16,3.03554
24836.5,78685.3,20686,15634.9,70782.6,14476,13736.4,1090.04,3.04145
16267.5,64632.2,16495,5643.79,63683.1,5808,6493.66,665.04,3.04145
17381.8,69531.3,16383,7645.28,64170.2,7808,8314.1,903.72,3.04617
26360.3,120580,14327,14332.8,114480,8205,10243.2,1030.2,3.04972
16103.7,65299.5,16162,6331.07,60553.6,6852,10434.2,922.76,3.05326
10491.5,64211.1,10708,4678.19,60233.8,5090,9058.18,860.2,3.06153
10047.4,71743.7,9178,16294.5,147639,7233,8443.32,700.4,3.07098
9252.48,69331.2,8746,6081.15,76056.2,5240,6272.85,588.2,3.08279
6461.44,64649.9,6550,1914.16,52797.3,2376,6823.81,378.08,3.08869
9815.68,64444,9982,3176.54,56249,3701,6629.27,518.16,3.08869
13648.6,64180,13937,6339.59,61945.9,6707,9164.68,969,3.1005
10034.6,64290.2,10229,3396.64,60114,3703,6901.2,567.12,3.11114
16137,67090.8,15763,12832.5,123222,6825,8901.27,816.68,3.1135
16908.8,69549.7,15933,9343.6,67985.1,9007,7173.13,853.4,3.1194
8722.56,62447.2,9154,2879.05,54849.2,3440,7185.2,384.88,3.12058
13734.4,69377,12974,7371.22,66139.1,7304,10698.3,697,3.12177
5742.08,62448.2,6026,1650.75,51199,2113,7029.71,465.12,3.12649
8426.24,63111.1,8750,1992.26,51955.7,2513,7232.06,516.12,3.15011
11123.8,68138.3,10699,5551.49,63649.8,5716,8895.59,1007.08,3.1572
16047.4,71218.2,14767,6972.2,65802.1,6944,7461.39,796.28,3.16429
33052.8,94562.7,22907,46413.4,147572,20612,7448.61,1119.28,3.16665
10073.6,62886.6,10498,2935.85,54784.7,3512,9971.95,569.16,3.17728
11292.2,63213.7,11707,3330.61,55853.3,3908,9401.82,533.8,3.19027
