"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
13272.3,64689.5,13446,5547.94,65206.2,5576,6869.96,526.32,0.82108
8456.32,63715,8698,2510.56,63184.4,2604,7646.7,369.92,0.83074
14743.7,67011.7,14419,7885.97,66591.3,7761,14297.3,823.48,0.831813
15441.3,64431.4,15706,4747.77,62317.2,4993,6938.83,369.92,0.835033
8604.8,64455.8,8749,2654.69,62157.1,2799,7006.28,254.32,0.837179
14111.4,63907.3,14471,4365.79,62077.8,4609,7763.85,424.32,0.842546
6546.56,62697,6843,1979.48,62730.8,2068,7159.64,256.36,0.844692
24679.7,79589,20322,19247.4,72344.4,17436,7827.75,584.8,0.847912
12213.1,62796.1,12746,4655.47,64043,4764,6520.64,315.52,0.848986
14553.6,69543.2,13715,8316.23,68084,8005,9981.89,488.24,0.850059
15292.8,66753,15014,8669.1,66902.8,8492,10620.9,841.84,0.852206
9982.08,62739.6,10427,3453.44,61702.5,3668,6359.47,389.64,0.852206
16446.7,64565.2,16694,7151.12,62354.4,7516,6847.95,369.92,0.854352
6746.88,62189,7110,1996.52,61371.4,2132,7536.65,189.72,0.855426
19354.9,69606.6,18223,8970.85,67794.5,8672,7943.48,300.56,0.855426
17779.2,74834.8,15570,11996.2,70674.2,11124,9561.57,341.36,0.866159
18844.8,74103.7,16666,9017,70174.3,8421,11030.6,595.68,0.870452
14704,65849.5,14634,8413.5,65979.1,8357,8728.74,569.16,0.873672
14191.4,69004.7,13478,6616.49,68394,6340,10647.9,688.16,0.888698
10143.4,70092.3,9484,7229.93,66754.1,7098,11842.8,380.8,0.892991
6900.48,63426.4,7130,2071.78,62368.5,2177,6976.46,298.52,0.895138
16054.4,64441.8,16327,6507.86,63194.4,6749,10444.8,450.84,0.899431
13833,71755.3,12634,6860.02,68190.2,6593,12396.6,820.08,0.902651
9629.44,63360.9,9960,3028.86,63095.8,3146,8487.34,346.8,0.906944
5940.48,60954.3,6387,2489.26,61958.3,2633,10103.3,245.48,0.911238
16139.5,70182.4,15071,9771.73,68536,9344,10006,612.68,0.912311
7609.6,62228.9,8014,2994.07,62153.7,3157,6453.9,265.88,0.912311
18573.4,72944.7,16687,9853.38,67653.3,9545,6749.97,802.4,0.914457
18561.9,71853.2,16930,11913.1,68581.9,11384,8366.64,483.48,0.916604
12478.1,63664,12845,4749.19,63376.7,4911,9713.51,472.6,0.920897
10745.6,62944.5,11188,2551.03,62058,2694,9012.74,375.36,0.923044
19609,66170.3,19421,7670.84,64824.8,7755,6973.62,500.48,0.927337
14972.2,64110.8,15305,4417.62,63783.5,4539,10199.9,499.12,0.93163
15602.6,66867,15292,8069.86,63734.2,8298,6851.5,439.28,0.943437
13574.4,64185.6,13860,7254.78,61602.6,7718,6790.44,693.6,0.94451
17196.2,71079.6,15855,10615.9,69130.1,10064,7484.11,576.64,0.946657
17410.6,69177.8,16494,6456.74,65941.9,6417,8814.65,597.04,0.946657
12261.1,67400.2,11922,6150.02,67219.4,5996,9345.02,698.36,0.949877
9215.36,63392.2,9527,2332.35,62312.6,2453,7241.29,286.28,0.952023
13258.9,67291.4,12913,6450.35,68591.6,6163,12782.8,690.2,0.953097
23385.6,77267.4,19835,14880.2,70334.5,13865,6338.88,425,0.956316
28152.3,77592.3,23778,18205.1,73357.7,16264,11277.6,427.04,0.95739
9485.44,62741,9908,2857.04,61876.7,3026,7912.24,376.04,0.96061
13367,70704,12390,3834,67111.4,3744,13020,629.68,0.961683
10275.2,62380.3,10795,3018.21,61257.8,3229,7555.11,370.6,0.964903
5562.24,62280.4,5853,3226.24,63858.3,3311,6687.49,292.4,0.971343
10170.2,69062,9651,5291.63,68252.8,5081,13005.8,658.92,0.974563
7648.64,62291.7,8047,3314.99,62000.9,3504,8516.45,461.72,0.981003
13402.2,63198.2,13898,4296.21,63002.1,4469,9854.09,387.6,0.984222
22407,70187.7,20922,11688,68263.6,11221,6884.87,316.2,0.988516
9892.48,61915.2,10471,2820.12,60616.4,3049,8822.46,454.24,0.994955
6149.76,62176.9,6482,1401.54,60112.1,1528,8942.45,301.24,0.999249
16319.4,64587.6,16559,6254.39,62943.4,6512,7979.69,328.44,1.00032
10051.8,69299.1,9506,6216.76,67948.9,5996,16330.7,901,1.0014
10970.2,75337.5,9543,10420,67021.5,10189,9364.9,551.48,1.00462
15958.4,64670.4,16172,6582.41,63012.7,6846,8507.22,433.16,1.00784
12662.4,63971.9,12972,4250.77,62941.4,4426,6580.99,240.04,1.00998
12645.8,63583.9,13034,3493.2,63223,3621,11907.4,660.96,1.01535
9756.8,63065.6,10139,3256.77,61244.1,3485,6924.63,406.64,1.01535
12960,64486.1,13171,4705.88,63133,4885,10307.1,485.52,1.02393
10181.1,70256.9,9497,6461,68261.8,6203,9541.69,625.6,1.03359
31692.2,71902.6,28886,14135.4,69631.5,13304,6479.46,439.28,1.03467
16327.7,74175.1,14426,10758.6,67763.3,10405,10255.9,591.6,1.04111
5200.64,62617.9,5443,2117.93,62158.8,2233,9708.54,302.6,1.04218
15804.8,73742.2,14046,8218.25,69050.2,7800,9792.32,542.64,1.04433
19058.6,69614.4,17942,9779.54,68649.5,9336,11888.2,785.4,1.05077
10117.8,63880.3,10380,4384.25,62003.9,4634,10244.6,276.08,1.05077
16201.6,77786.7,13650,11788.1,69926.4,11048,9994.67,420.24,1.05184
9056.64,62675.4,9470,2465.12,63205.8,2556,8613.01,328.44,1.05721
13193.6,65454.6,13210,8171.39,63904.6,8380,6595.19,409.36,1.06257
11048.3,62836.3,11523,3557.1,62181.4,3749,8740.81,355.64,1.07009
10947.2,63026.9,11383,3389.54,62591.4,3549,9866.16,357.68,1.07116
9932.8,70748.4,9201,5705.56,66688,5607,8341.79,633.76,1.07653
18341.8,70468.1,17058,9708.54,68180.3,9332,8039.33,531.76,1.07653
15246.1,65202.8,15324,5949.8,62388.2,6250,9772.44,335.92,1.07867
9205.12,68382.1,8822,4714.4,65792.8,4696,9013.45,514.08,1.08619
6433.92,61989.6,6802,2088.82,60787.3,2252,9386.2,290.36,1.08619
9875.84,63434.6,10203,3236.89,62373.7,3401,8982.92,257.72,1.08619
11049,65553.6,11046,7744.68,64541.6,7864,7827.75,517.48,1.08726
10833.9,65096.9,10907,3239.02,61923.1,3428,7758.88,401.88,1.08941
15599.4,65575.3,15590,5370.44,63484.3,5544,7143.31,525.64,1.08941
13764.5,72923.9,12370,10197,68274.6,9788,10593.2,452.88,1.09048
18394.2,69560.6,17330,7687.17,67932.4,7416,9249.17,609.96,1.09799
12432,69917.1,11653,6323.97,66216.3,6259,12532.2,601.12,1.10443
7460.48,62196.9,7861,2539.67,61034,2727,7615.46,303.96,1.10443
10270.1,62814.7,10715,2971.35,62016.1,3140,11185.3,269.96,1.10765
15415.7,67505.1,14966,10181.4,65933.6,10120,6562.53,383.52,1.10873
26001.3,79686.7,21384,15055.5,70487.3,13998,19916.9,1241,1.10873
19562.9,71484.4,17935,9055.34,68181.4,8704,6776.24,453.56,1.11409
15198.1,63970.5,15570,4853.56,62664.1,5076,12149.5,590.24,1.11517
14824.3,69439.4,13991,6887,67395.3,6697,13219.5,711.28,1.11731
15619.8,68248.7,14999,8723.06,64867.2,8813,13507,903.72,1.11839
15193.6,63216.8,15751,5156.02,61650.2,5481,10025.2,380.12,1.11946
8870.4,63429.4,9165,2729.95,62229.6,2875,9966.98,397.8,1.12161
8419.84,65997.2,8361,4634.88,66626.8,4559,8189.14,575.28,1.12375
13518.1,67964.8,13035,5594.09,67628.5,5421,9842.02,609.96,1.12912
14460.2,64035.5,14799,4196.1,62371.4,4409,9947.1,445.4,1.13234
16249,64410.1,16533,6631.4,62957.5,6903,7863.25,408,1.13449
9868.8,64605.1,10011,4779.72,64773.3,4836,7304.48,394.4,1.13449
6448,62271.8,6786,2245.02,61819.2,2380,8458.23,374.68,1.13663
16927.4,65225.3,17008,5492.56,62776.5,5734,9910.89,649.4,1.14737
13150.1,63554.8,13560,4366.5,62344.9,4590,10375.9,447.44,1.15702
13278.7,70515.7,12341,8348.89,67424.9,8115,9036.88,291.04,1.16561
11302.4,70908.9,10446,8115.3,68811.5,7729,8129.5,756.16,1.16561
16046.1,71508,14706,6980.01,67869.7,6740,8245.23,501.84,1.16668
10916.5,68064.2,10511,5284.53,68067.4,5088,6994.21,408.68,1.17205
17641,73158.1,15803,7615.46,68069.7,7332,9313.07,672.52,1.17312
20967,78980.1,17398,14560,70410.4,13552,7786.57,811.92,1.1742
15975,69707.7,15019,8804.71,68849.2,8381,11333.7,788.8,1.17527
11838.1,62916.3,12331,3845.36,61706.5,4084,9425.25,434.52,1.17634
6262.4,62515.3,6565,2673.86,61723.9,2839,8145.12,257.04,1.18278
10405.1,70372.5,9690,8641.41,67636.9,8373,6749.26,374,1.18386
17541.1,65120.6,17653,5581.31,63824.2,5731,7785.15,513.4,1.19459
15953.3,64605.7,16183,5339.91,62082,5637,7390.39,437.24,1.20425
8542.08,65513.6,8545,5280.98,65461.4,5287,12374.6,565.08,1.2064
11976.3,71365.7,10998,7948.45,68540.7,7600,10203.4,605.2,1.2064
12594.6,62993,13103,3719.69,62187.1,3920,7021.9,289.68,1.21069
32083.8,80722,26048,25516.7,71190.4,23490,15081.1,671.16,1.21391
9820.16,62683.7,10267,5019.7,61697.5,5332,7907.98,420.92,1.21713
10241.9,62724.5,10701,4561.75,62556.8,4779,7925.73,404.6,1.21928
13234.6,70156.1,12363,8583.9,67323.4,8356,9205.15,363.12,1.2225
39754.9,73337.2,35526,26044.2,71583.4,23844,15179.1,769.76,1.22357
20514.6,66494,20219,7942.77,63441.5,8205,7650.25,513.4,1.22679
12969,64005.9,13279,3610.35,62927.6,3760,8375.87,382.16,1.22786
22652.2,71344.3,20808,10740.2,68323.4,10302,6357.34,382.16,1.23323
15086.7,71018.8,13922,12982.3,69059.4,12320,16025.4,957.44,1.23752
6794.88,63326.1,7032,2604.28,62518,2730,7841.24,259.08,1.23752
9152,63115.4,9503,2461.57,61269.1,2633,6923.21,289,1.23967
23164.2,75115.6,20210,11112.2,69862.8,10424,17941,1325.32,1.24182
11045.8,63801.8,11346,4394.9,61967.3,4648,7795.8,261.8,1.24396
6567.04,62609.5,6874,2301.82,62412.9,2417,7361.28,238.68,1.24611
23742.1,79605.1,19546,13058.3,74487.8,11489,13635.5,812.6,1.24718
8960.64,63390,9264,3383.86,62398.6,3554,8781.28,471.24,1.2547
12931.2,70043.7,12099,9146.93,67256,8913,9959.17,405.96,1.25577
31745.9,87280.3,23837,19345.4,76563.7,16559,17582.4,671.16,1.25899
18978.6,69617.1,17866,8567.57,68001,8257,9191.66,401.2,1.26436
11452.8,64332.8,11667,5435.05,62478.8,5701,6363.73,422.96,1.26543
10838.4,63887.9,11118,3748.8,62229.3,3948,8050.69,344.08,1.26972
10970.9,63768.3,11275,3643.01,62894.7,3796,10204.1,416.84,1.27187
10558.1,71584.4,9666,7190.17,68850.8,6844,18003.5,1011.16,1.27616
7859.84,62641.7,8223,3938.37,63060.1,4093,10486.7,376.72,1.28368
18802.6,73369.7,16795,12273.8,67639.9,11892,9145.51,395.08,1.28582
14584.3,69110.5,13830,6762.75,67892.7,6528,12665,625.6,1.29333
11696.6,64125.1,11954,3992.33,62474.1,4188,8868.61,454.24,1.30192
14160,63972.8,14506,4721.5,62930.3,4917,6664.77,373.32,1.30514
12384.6,63414.3,12799,3466.93,62402.8,3641,8295.64,419.56,1.30729
12028.2,64092.8,12299,4663.28,62987,4852,8416.34,455.6,1.31802
8562.56,63594.3,8824,2013.56,63139.1,2090,9311.65,225.08,1.32124
14351.4,63403.7,14834,4711.56,62354,4952,9965.56,359.04,1.32553
14057,70495.6,13068,10503.7,66638.2,10330,7667.29,354.28,1.33519
29256.3,80740.4,23747,16132.6,73826.4,14321,9828.53,709.24,1.34163
9591.68,67000.7,9382,6267.17,65527.3,6268,12073.5,435.2,1.347
8078.72,65235,8116,5078.63,65751.3,5062,10032.3,648.04,1.347
9970.56,64753.8,10091,3555.68,63253.3,3684,8473.14,350.2,1.35666
13783.7,64638.8,13975,4081.79,62720.8,4265,7384,405.28,1.36417
12703.4,64407.2,12926,4622.81,63169.4,4796,6845.82,482.8,1.37491
16054.4,73720.6,14272,10106.1,69207.5,9570,10659.2,697,1.38242
9749.76,63781.2,10018,4709.43,65723.4,4696,12845.3,690.2,1.38457
16055,70964,14827,7269.69,67857.3,7021,13386.3,1007.08,1.38457
9016.96,62197.2,9501,3738.15,62320.9,3931,6789.02,275.4,1.38564
9252.48,62518.9,9699,2551.74,61731.6,2709,8561.89,240.72,1.38671
14563.8,75684.4,12611,10399.4,68092,10009,15176.2,954.72,1.38886
11246.1,69747.6,10567,8079.8,67155.1,7885,10578.3,729.64,1.38993
14239.4,69833.9,13363,7192.3,68381.6,6893,9039.72,648.72,1.39423
12721.9,66238.5,12587,5371.15,66017.2,5332,9562.99,556.92,1.3953
7722.24,65158.3,7767,4117.29,65413.5,4125,9462.88,632.4,1.40496
10577.3,63092.1,10987,3109.09,62656,3252,7606.23,278.12,1.41462
11465,75423.4,9962,5572.79,68896.1,5301,11291.8,439.28,1.41569
