Optimal order: 5
Type,Order,Mean,Std
Train,0,-1.3322676295501878e-16,1.7763568394002506e-16
Train,1,0.8671994441125044,0.0004045215766659511
Train,2,0.9628878364834659,0.0001026025258762068
Train,3,0.9862401502019751,5.5909071337136545e-05
Train,4,0.9917337775878714,4.150701620465495e-05
Train,5,0.99368790176887,3.4337205445662015e-05
Train,6,0.9953383178110696,2.4092431929036878e-05
Test,0,-0.00017848560735649331,0.0002919151830340569
Test,1,0.866983781892429,0.0036218124322020726
Test,2,0.9625710005853823,0.0009252377152404896
Test,3,0.9856961076775985,0.000508074441924488
Test,4,0.9905246595913295,0.0003933427528615962
Test,5,0.9908776001762997,0.00035366127514620206
Test,6,0.9893797101719237,0.0003027161067343235
