Optimal order: 5
Type,Order,Mean,Std
Train,0,-1.4432899320127036e-16,1.8610729195778452e-16
Train,1,0.8665247826040844,0.00025209410781107036
Train,2,0.9584505143723208,0.00018605795073947572
Train,3,0.9837337036731876,0.00012822318192775228
Train,4,0.9915738776646881,5.264369032671979e-05
Train,5,0.9941790457856232,4.2817543969266306e-05
Train,6,0.995826053604741,3.106404063112941e-05
Test,0,-0.0003385852477375773,0.0003341183271857917
Test,1,0.8663559743282327,0.0022869313416571755
Test,2,0.9580847829392779,0.0016826910823447257
Test,3,0.9830564978635488,0.0011845093224458105
Test,4,0.9903130512076507,0.0005028070756170862
Test,5,0.9915627522866103,0.0004478180508962344
Test,6,0.990330584073372,0.00042803316722643477
