,number_mutation,mean,color,trajectory
2,2,9.38974788924444,0,96
3,3,9.259987053207178,0,96
4,4,9.355883616041659,0,96
5,5,9.442193232662262,0,96
0,0,9.435357795477012,0,97
1,1,9.407075482907668,0,97
2,2,9.38718817778682,0,97
3,3,9.168128975773456,0,97
4,4,9.22163159880928,0,97
5,5,9.478874391830969,0,97
0,0,9.325699058987217,0,98
1,1,9.595748080093406,0,98
2,2,9.413526959076522,0,98
3,3,9.444814893161864,0,98
4,4,9.416609455172647,0,98
5,5,9.478874391830969,0,98
0,0,9.354240444402135,0,99
1,1,9.45091771769448,0,99
2,2,9.040189709316984,0,99
3,3,9.079092032470877,0,99
4,4,9.517928035459263,0,99
5,5,9.478874391830969,0,99
0,0,9.033693603863576,1,0
1,1,8.673437157362416,1,0
2,2,9.340173051108007,1,0
3,3,9.439801280871666,1,0
4,4,9.409834806109632,1,0
5,5,9.384965796045025,1,0
0,0,8.967129411316753,1,1
1,1,9.046287860950352,1,1
2,2,9.449115578978518,1,1
3,3,9.557957299131765,1,1
4,4,9.585704983884629,1,1
5,5,9.478874391830969,1,1
0,0,9.033693603863576,1,2
1,1,9.046813386464464,1,2
2,2,9.34517564502902,1,2
3,3,9.708164176182343,1,2
4,4,9.577061990847419,1,2
5,5,9.43311984174156,1,2
0,0,9.013628744269944,1,3
1,1,8.877658351245245,1,3
2,2,9.380030397334492,1,3
3,3,9.148530607874946,1,3
4,4,9.544989146806284,1,3
5,5,9.478874391830969,1,3
0,0,8.997420309681157,1,4
1,1,9.179032273861363,1,4
2,2,9.67796825479406,1,4
3,3,9.52092999765394,1,4
4,4,9.553636911850065,1,4
5,5,9.43311984174156,1,4
0,0,9.004978543198693,1,5
1,1,9.350647634747139,1,5
2,2,9.805499973164093,1,5
3,3,9.588686451118326,1,5
4,4,9.562824330917401,1,5
5,5,9.478874391830969,1,5
0,0,9.047408189387795,1,6
1,1,8.401804289006206,1,6
2,2,9.310823430785767,1,6
3,3,9.350868000017133,1,6
4,4,9.393569537180552,1,6
5,5,9.384965796045025,1,6
0,0,8.95452901119642,1,7
1,1,9.393728447908433,1,7
2,2,9.423125897141558,1,7
3,3,9.41319933357329,1,7
4,4,9.22163159880928,1,7
5,5,9.478874391830969,1,7
0,0,8.581050927723414,1,8
1,1,8.53577346865604,1,8
2,2,9.423420099633924,1,8
3,3,9.30211319090386,1,8
4,4,9.075190870606399,1,8
5,5,9.478874391830969,1,8
0,0,9.033693603863576,1,9
1,1,8.96411154283898,1,9
2,2,9.514822888505117,1,9
3,3,9.42425481890859,1,9
4,4,9.542742624776771,1,9
5,5,9.478874391830969,1,9
0,0,9.033693603863576,1,10
1,1,9.211417969152398,1,10
2,2,9.456961055626273,1,10
3,3,9.552852332655789,1,10
4,4,9.498215630649732,1,10
5,5,9.478874391830969,1,10
0,0,9.033693603863576,1,11
1,1,8.964954890487478,1,11
2,2,9.630909035725976,1,11
3,3,9.893170997543958,1,11
4,4,9.653150208794765,1,11
5,5,9.578973909114797,1,11
0,0,8.581050927723414,1,12
1,1,8.594251997440324,1,12
2,2,9.02520891462502,1,12
3,3,9.498276056517872,1,12
4,4,9.44408894505012,1,12
5,5,9.417874888550088,1,12
0,0,9.033693603863576,1,13
1,1,9.149836451422257,1,13
2,2,9.579064844114995,1,13
3,3,9.579839499798409,1,13
4,4,9.436560559836389,1,13
5,5,9.478874391830969,1,13
0,0,9.033693603863576,1,14
1,1,8.97835056467859,1,14
2,2,9.592263803230614,1,14
3,3,9.718869285695304,1,14
4,4,9.581553926489349,1,14
5,5,9.478874391830969,1,14
0,0,9.07769075322146,1,15
1,1,9.146164366731847,1,15
2,2,9.493402697759734,1,15
3,3,9.439972424253126,1,15
4,4,9.449919280018875,1,15
5,5,9.478874391830969,1,15
0,0,9.066771441480865,1,16
1,1,8.99506666840848,1,16
2,2,9.630833245984896,1,16
3,3,9.638004062888644,1,16
4,4,9.600119191540804,1,16
5,5,9.478874391830969,1,16
0,0,9.033693603863576,1,17
1,1,8.852707450202344,1,17
2,2,9.483555859835745,1,17
3,3,9.455165787432456,1,17
4,4,9.377717673343362,1,17
5,5,9.431114984893506,1,17
0,0,9.033693603863576,1,18
1,1,9.234765407541095,1,18
2,2,9.59096461255899,1,18
3,3,9.425512990832386,1,18
4,4,9.462636142140996,1,18
5,5,9.473285709729797,1,18
0,0,9.033693603863576,1,19
1,1,9.091872655579472,1,19
2,2,9.546541019210999,1,19
3,3,9.657723269580128,1,19
4,4,9.571492563632573,1,19
5,5,9.462844257826365,1,19
0,0,9.033693603863576,1,20
1,1,8.64714700922962,1,20
2,2,9.449898897097844,1,20
3,3,9.23779215893678,1,20
4,4,9.324056427094279,1,20
5,5,9.384965796045025,1,20
0,0,8.494504476134278,1,21
1,1,9.077799152567586,1,21
2,2,9.578352030340712,1,21
3,3,9.608454160216702,1,21
4,4,9.606392374917467,1,21
5,5,9.473285709729797,1,21
0,0,8.95452901119642,1,22
1,1,8.90056433860223,1,22
2,2,9.259438112022634,1,22
3,3,9.516345171727522,1,22
4,4,9.345424647719625,1,22
5,5,9.478874391830969,1,22
0,0,9.033693603863576,1,23
1,1,8.711816209580165,1,23
2,2,9.397917776013959,1,23
3,3,9.370043588158982,1,23
4,4,9.426377353075384,1,23
5,5,9.431114984893506,1,23
0,0,8.976828423403067,1,24
1,1,9.061340447510728,1,24
2,2,9.1068758567484,1,24
3,3,9.136411094250152,1,24
4,4,9.374324105745336,1,24
5,5,9.363192309969119,1,24
0,0,9.006346223835598,1,25
1,1,8.743742184905278,1,25
2,2,9.517572331116428,1,25
3,3,9.42560615697823,1,25
4,4,9.449919280018875,1,25
5,5,9.478874391830969,1,25
0,0,9.001881730992766,1,26
1,1,8.623624923823613,1,26
2,2,9.538589810266176,1,26
3,3,9.480194203964336,1,26
4,4,9.472130140315555,1,26
5,5,9.478874391830969,1,26
0,0,9.033693603863576,1,27
1,1,9.021281764472842,1,27
2,2,9.476194936913982,1,27
3,3,9.514503845435684,1,27
4,4,9.449919280018875,1,27
5,5,9.478874391830969,1,27
0,0,9.033693603863576,1,28
1,1,9.05530357257508,1,28
2,2,9.314425428965018,1,28
3,3,8.97764615269482,1,28
4,4,9.240761293709149,1,28
5,5,9.353298497353066,1,28
0,0,8.99920683634668,1,29
1,1,8.505603310419524,1,29
2,2,9.476194936913982,1,29
3,3,9.439972424253126,1,29
4,4,9.48681386627281,1,29
5,5,9.478874391830969,1,29
0,0,8.982678074521884,1,30
1,1,8.971718806635073,1,30
2,2,9.298081930302509,1,30
3,3,9.39417400245719,1,30
4,4,9.487708259266627,1,30
5,5,9.560212903182897,1,30
0,0,8.997420309681157,1,31
1,1,8.523442219771646,1,31
2,2,9.589593512553076,1,31
3,3,9.55857068433525,1,31
4,4,9.524894219191502,1,31
5,5,9.462844257826365,1,31
0,0,8.932726263928297,1,32
1,1,8.67878670361151,1,32
2,2,9.381133189707525,1,32
3,3,9.45011327464984,1,32
4,4,9.546421445943551,1,32
5,5,9.416674319905367,1,32
0,0,9.033693603863576,1,33
1,1,8.554699093135664,1,33
2,2,9.35458848294431,1,33
3,3,9.507254718519144,1,33
4,4,9.581553926489349,1,33
5,5,9.478874391830969,1,33
0,0,8.655585036581039,1,34
1,1,8.276594772553254,1,34
2,2,9.243396273037169,1,34
3,3,8.987966343222494,1,34
4,4,9.380027825282871,1,34
5,5,9.361895596670452,1,34
0,0,9.050253437849786,1,35
1,1,8.947990084294329,1,35
2,2,9.112712946034046,1,35
3,3,9.309203903679645,1,35
4,4,9.170571057614874,1,35
5,5,9.478874391830969,1,35
0,0,8.689770586085825,1,36
1,1,8.557934347736099,1,36
2,2,9.32698884376759,1,36
3,3,9.456194573634424,1,36
4,4,9.517928035459263,1,36
5,5,9.478874391830969,1,36
0,0,9.033693603863576,1,37
1,1,9.001634823458895,1,37
2,2,9.696198187879109,1,37
3,3,9.600360577948736,1,37
4,4,9.581553926489349,1,37
5,5,9.478874391830969,1,37
0,0,9.033693603863576,1,38
1,1,9.113794888089735,1,38
2,2,9.54079082366667,1,38
3,3,9.627951919539347,1,38
4,4,9.510941187563256,1,38
5,5,9.478874391830969,1,38
0,0,8.500764925904381,1,39
1,1,8.670047981121039,1,39
2,2,9.418512714902173,1,39
3,3,9.294027398769645,1,39
4,4,9.304350143216256,1,39
5,5,9.417874888550088,1,39
0,0,8.976828423403067,1,40
1,1,8.888819871647888,1,40
2,2,9.516072256807359,1,40
3,3,9.343869046977527,1,40
4,4,9.581553926489349,1,40
5,5,9.478874391830969,1,40
0,0,8.95452901119642,1,41
1,1,9.063297724347033,1,41
2,2,9.29373112455763,1,41
3,3,9.263031577679229,1,41
4,4,9.38784281671285,1,41
5,5,9.478874391830969,1,41
0,0,8.437399067478175,1,42
1,1,9.023319262612594,1,42
2,2,9.336728023805865,1,42
3,3,9.430174295627323,1,42
4,4,9.435945869727169,1,42
5,5,9.478874391830969,1,42
0,0,8.967129411316753,1,43
1,1,9.407167489373835,1,43
2,2,9.433251958177628,1,43
3,3,9.439972424253126,1,43
4,4,9.48681386627281,1,43
5,5,9.478874391830969,1,43
0,0,8.581050927723414,1,44
1,1,8.308801968069979,1,44
2,2,9.290551777215478,1,44
3,3,9.478462574857886,1,44
4,4,9.48681386627281,1,44
5,5,9.478874391830969,1,44
0,0,9.058572401911206,1,45
