Optimal order: 4
Type,Order,Mean,Std
Train,0,-4.4408920985006264e-17,1.5857156540161843e-16
Train,1,0.860254682332975,0.00037176555624941803
Train,2,0.9475978066477468,0.0002549055662339371
Train,3,0.9747298102862686,0.0001672026162647174
Train,4,0.9830262163291905,0.00011763226444308695
Train,5,0.9866038192754158,7.979839866150615e-05
Train,6,0.969055391629416,0.012313551640196905
Test,0,-0.000264523103058778,0.0002748002505374755
Test,1,0.8600328538696351,0.003314299080387973
Test,2,0.9470779776056872,0.0022647981235256426
Test,3,0.9735841607285984,0.0015476561447217007
Test,4,0.9802305326267648,0.0011528946331638252
Test,5,0.9796966526455948,0.0008924777533953754
Test,6,-2.6315703185512753e+21,4.409173414662108e+21
