Optimal order: 4
Type,Order,Mean,Std
Train,0,-4.4408920985006264e-17,1.5857156540161843e-16
Train,1,0.860254682332975,0.0003717655562493968
Train,2,0.9475978066477468,0.00025490556623396
Train,3,0.9747298102862685,0.00016720261626473022
Train,4,0.9830262163291905,0.00011763226444307608
Train,5,0.9866038192754158,7.979839866150615e-05
Train,6,0.9902709903997261,5.986163094000594e-05
Test,0,-0.000264523103058778,0.0002748002505374755
Test,1,0.8600328538696352,0.0033142990803876927
Test,2,0.9470779776056872,0.0022647981235256157
Test,3,0.9735841607285984,0.0015476561447216536
Test,4,0.9802305326267646,0.0011528946331639451
Test,5,0.979696652645595,0.0008924777533953576
Test,6,0.9747339656685607,0.001067484164491414
